Agency Id,Agency Name,Address,State,City,Zipcode,Metropolitan (or Micropolitan) Area,Telephone,Email,Agency Type
1620317,Accolade Home Care-Lubbock,5201 Indiana Ave #200 ,TX,Lubbock,79413,Lubbock,9367159625,a@a.com,Freemium
1620273,Interim Healthcare Lubbock,"3305 101st Street, Suite 200 , ",TX,Lubbock,79423,Lubbock,806 791 0042,a@a.com,Not Using
1629698,Progressive Home Care-El Paso,"1717 Brown Street Suite 2b, ",TX ,El Paso,79902,El Paso,9153177000,a@a.com,Order360 Lite
1621312,"Altomar Home Healthcare, Inc.-El Paso",3214 E. Yandell ,TX,El Paso,79903,El Paso,915 845 2211,.,Not Using
1628931,Berkley Home Health,10697 E. Dartmouth Avenue ,CO,Aurora,80014,Denver–Aurora–Lakewood,303-758-2000,a@a.com,Not Using
1643685,On Going Home Health Care Ltd - Aurora,12395 E Cornell Ave,CO,Aurora,80014,Denver–Aurora–Lakewood,720-728-8961,ongoinghhc@gmail.com,Not Using
1639758,ICARE HOME HEALTH AGENCY,2851 S Parker Rd ste 428 ,CO,Aurora ,80014,Denver–Aurora–Lakewood,3039936393,icarehhagency@gmail.com,Not Using
1628237,Argus Home Health Care-Glendale,720 S Colorado Blvd Suite 600 ,CO ,Glendale,80246,Denver–Aurora–Lakewood,303-322-4100,suzanne@argusofcolo.com,Not Using
1628781,"HUMAN TOUCH HOME HEALTH CARE AGENCY, INC. DENVER ","51 W 84th Ave, Ste 120 ",CO,Denver,80260,Denver–Aurora–Lakewood,303-955-6022,a.capobianco@humantouchhomecare.com,Not Using
1629589,At Home Healthcare-Longmont,1375 Ken Pratt Blvd. Suite 400 ,CO ,-,80501,Boulder,3036667712,a@a.com,Not Using
1626119,Bonum Home Health Services,"2000 W. Magnolia Blvd., Ste. 206 , ",California ,Burbank,91506,Los Angeles–Long Beach–Anaheim,877-557-3711,info@bonumhomehealth.com,Not Using
1620949,Byram Healthcare-Grove,"3010 Woodcreek Drive, Suite A Downers , ",-,-,60515,Chicago–Naperville–Elgin,800 334 0235,.,Not Using
1621331,La Familia Health Inc.,2720 E Yandell Dr Ste 106,TX ,El Paso,79903,El Paso,915-217-6505 ,a@a.com,Not Using
1634599,Gateway Home Health,2696 S. Colorado Blvd Suite 420 ,CO,Denver,80222,Denver–Aurora–Lakewood,303-495-2578,smergen@gatewayhhco.com,Not Using
1645337,FIRST COLORADO HOME HEALTH CARE INC,"2121 S ONEIDA ST STE 332, ",CO,Denver,80224,Denver–Aurora–Lakewood, (720) 505-5517,a@a.com,Not Using
1634356,BRIGHTON HOSPICE DENVER,"8055 E. Tufts Ave. Suite 425 , ",CO,Denver,80237,Denver–Aurora–Lakewood,(720) 536-5060,a@a.com,Freemium
1645072,Infinity Rehab Longmont,"1401 Elmhurst Dr, ",CO ,Longmont ,80503,Boulder,(209) 834- 6309,a@a.com,Not Using
1628812,Maxim Healthcare Services Fort Collins,"3665 JFK Parkway,",CO ,Ft. Collins,80525,Fort Collins–Loveland,9704939300,codavis@maxhealth.com,Not Using
1630531,Banner Home Care Greeley,5628 W 19th St  ,CO,Greeley,80634,Greeley,9708106222,a@a.com,Not Using
1644544,Colorado Plains Medical Center Home Care,"515 E. Riverview Ave, ",CO ,Fort Morgan,80701,Fort Morgan Micropolitan Statistical Area,970-867-3013,a@a.com,Not Using
1640323,Advanced Home Health - Colorado Springs,55 South Parkside Drive ,CO, Colorado Springs,80910,Colorado Springs,719 -418-4548,pbolling-bodine@ahcfacilities.com,Not Using
1644765,Care to you,"1755 Telstar Drive Suite 300, ",CO ,Colorado Springs,80920,Colorado Springs,719-639-6396,a@a.com,Not Using
1636012,COMPLETE HOME HEALTH CARE LLC-PUEBLO/CANON CITY,805 Eagleridge Blvd. Suite 160 ,CO ,Pueblo,81008,Pueblo,(719) 546-2610 ,a@a.com,Not Using
1629541,Us Medtrade Home Healthcare,221 E Glenoaks Blvd Ste 200 ,CA ,Glendale ,91207,Los Angeles–Long Beach–Anaheim,818-550-0877,a@a.com,Not Using
1644874,OREMOS HOME HEALTH CARE,8949 RESEDA BLVD. SUITE 106 ,CA ,NORTHRIDGE ,91324,Los Angeles–Long Beach–Anaheim,818-960-4532,a@a.com,Not Using
1620551,Interim Hospice Brownfield,"1307 Tahoka Rd., Suite B , ",TX ,Brownfield,79316,Lubbock,8006085368,a@a.com,Not Using
1628418,"UNITY HOMECARE, LLC-EL PASO",4150 RIO BRAVO ST STE 105,TX,EL PASO,79902,El Paso,915-781-1882,ssanchez.unityhomecare@gmail.com,Not Using
1621578,Always Caring Home Care Services Inc,"4171 N Mesa Bldg D,Suite 400 ",Tx ,El Paso ,79902,El Paso,915 545 4663,.,Not Using
1621335,Our Angel Home Health Care,"6080 Surety Dr # 215, ",TX , El Paso,79905,El Paso,915 629 9600,.,Freemium
1627307,AMORICAN HOME HEALTH SERVICES LLC,5939 GATEWAY BLVD W STE A  ,TX ,EL PASO,79925,El Paso,915-562-3334,m.castorena03@hotmail.com,Not Using
1621330,Southern Homecare Inc.,11500 Pellivano Dr. Unit B10 ,TX ,El Paso ,79936,El Paso,915 857 8573,.,Not Using
1628775,High Priority Inc,2851 S Parker Rd Unit 1030 ,CO,Aurora,80014,Denver–Aurora–Lakewood,(720) 505-9942,a@a.com,Not Using
1628577,"Super Health Care,Inc",6795 E. Tennessee Ave Suite 225 ,CO,Denver,80224,Denver–Aurora–Lakewood,(303)991-1009,superhealth25@yahoo.com,Freemium
1628578,SHALOM HOME HEALTH CARE-DENVER,1200 S PARKER ROAD 102 ,CO,Select,80231,Denver–Aurora–Lakewood,720-532-0936,shalomhomehealthcare@gmail.com,Not Using
1628508,"PROFESSIONAL HOME HEALTH CARE, INC.",1629 HARVARD ST ,CO,Longmont,80503,Boulder,720-494-0190,snelson@homecarephhc.com,Not Using
1628823,Interim Healthcare of Fort Collins,"2000 Vermont Dr. Suite 100, ",CO ,Fort Collins,80525,Fort Collins–Loveland,970-472-4180,a@a.com,Not Using
1644645,Optimal Home Care Loveland,138 East 4th Street Ste3 ,CO ,Loveland ,80537,Fort Collins–Loveland,9706586509,a@a.com,Not Using
1637592,Interim HealthCare of Pueblo CO," 720 N Main St Suite 400, ",CO,Pueblo,81003,Pueblo,(719) 545-1184,A@a.com,Not Using
1644063,ABC Home Health Care,3715 Thatcher Avenue ,CO,Pueblo,81005,Pueblo,719-543-2700,a@a.com,Not Using
1634396,Enhabit - PUEBLO,"1515 Fortino Blvd , ",CO,Pueblo,81008,Pueblo,7195430641,,Not Using
1618339,"Banner Home Care, Gilbert-East valley",275 E German Rd Ste 110,AZ,Gilbert,85297,Phoenix–Mesa–Scottsdale,480 657 1000,,Not Using
1620278,Enhabit - LUBBOCK,4225 85th Street ,TX,Lubbock,79423,Lubbock,806 794 3555,,Freemium
1621725,Desert Star Home Health,2829 Montana Ave Ste. 202,TX,El Paso,79903,El Paso,915 566 0999,.,Not Using
1621247,Urgent Care Home Health Inc.,3130 gateway blvd east ,TX,El Paso,79905,El Paso,915 594 8070,.,Not Using
1648062,New Age Hospice El Paso TX,7304 Good Samaritan Ct Bldg 200 STe A ,TX ,El Paso ,79912,El Paso,915-533-0999,a@a.com,Not Using
1621235,"Sun City Home Care, Inc.",450 MULBERRY AVE,TX,El Paso,79912,El Paso,915 542 0014,a@a.com,Not Using
1621967,Evangel Home Care Services-El Paso,2112 Trawood,TX,El Paso,79935,El Paso,915 351 1790,carmen.ontiveros@evangelhealthcare.org,Not Using
1621342,Nurses Care Home Services ,"11351 James Watt Building C-300  , ",TX,El Paso,79936,El Paso,915 599 9998,.,Not Using
1628379,INTEGRITY HOME HEALTH INC,"3033 S PARKER RD STE 340 , ",CO,Aurora,80014,Denver–Aurora–Lakewood,303-597-0505,a@a.com,Not Using
1630238,Melior Home Health,2851 South Parker Road # 960 ,CO ,Aurora,80014,Denver–Aurora–Lakewood,(720) 535-6378,a@a.com,Not Using
1642952,CARING HANDS SKILLED HOME HEALTH,"3000 S JAMAICA COURT, SUITE 355, ",CO,AURORA,80014,Denver–Aurora–Lakewood,(720)696-6145,caringhands.shh@gmail.com,Not Using
1626228,Optimal Home Care Inc.Denver,"4380 S. Syracuse Street, Suite 600 , ",CO,Denver,80237,Denver–Aurora–Lakewood,(303) 488-9999,chadfincher@optimalhomecare.com,Freemium
1626214,Enhabit - FTC,"2171 Citrine Court , ",CO,Loveland,80537,Fort Collins–Loveland,970-493-8500,,Not Using
1629959,PREFERRED HOME HOME HEALTH,2802 Madison Sq Dr Suite 100,CO,Loveland,80538,Fort Collins–Loveland,970 776 1970,a@a.com,Not Using
1628031,Better Healthcare,"6208 Lehman Dr,",CO,Colorado Springs,80918,Colorado Springs,719-300-4455,a@a.com,Not Using
1618707,COS - Enhabit OF COLORADO,5575 TECH CENTER DR,CO,COLORADO SPRINGS,80919,Colorado Springs,719 265 6931,,Not Using
1643019,Argus Home Health Care Pueblo,821 Desert Flower Blvd,CO,Pueblo,81001,Pueblo,719-543-2634,a@a.com,Not Using
1635457,Frontier Home Health,"4718 N. Elizabeth St. #A ,   ",CO,Pueblo,81008,Pueblo,719-544-5891,a@a.com,Order360 Full
1630233,"Excell Home Care,Inc.","14023 Paramount Blvd , ",CA ,Paramount,90723,Los Angeles–Long Beach–Anaheim,(562) 988-3370,a@a.com,Not Using
1623739,ALEGRE HOME HEALTH CARE LLC-Mcallen,3400 N MCCOLL RD SUITE # B2,TX,MCALLEN,78501,McAllen–Edinburg–Mission,956-668-7730,alegrehome@att.net,Freemium
1620195,Interim Healthcare Pampa,2217 Perryton Parkway ,TX,Pampa,79065,Pampa Micropolitan Statistical Area,806 665 1445,a@a.com,Freemium
1619976,CenterWell Home Health - Amarillo,2007 S. Coulter St. ,TX,Amarillo,79106,Amarillo,806 353 3601,a@a.com,Freemium
